# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
8.190273120053699074e+01,-1.852253895652251348e-01,7.348360655737704974e+02,2.000000000000000000e+00,3.333333333333333481e+00,2.297970118749734070e+01,3.497007307583102431e+01,8.894595102287838699e+02,9.481667964782394620e+01,9.380833768198684197e+00,2.799999999999999822e+00
6.216066597736431731e+01,-2.301239624042844822e-01,9.712391304347826235e+02,1.500000000000000000e+01,3.333333333333332860e+01,4.485309353879617333e+01,7.356574830497883966e+01,8.382064970239692911e+02,5.978824784743613918e+02,1.401958624315018387e+00,6.333333332999999676e+00
5.780639144645883221e+01,-3.073482476760405757e-01,1.053047619047619037e+03,2.000000000000000000e+01,4.878048780487804947e+01,8.045632052359293596e+01,1.031096864179946380e+02,1.721666721682757270e+03,1.662935727543206212e+03,1.035317657301355387e+00,7.833333332999999676e+00
6.157634791637038774e+01,-2.320018142808586425e-01,9.777111111111111086e+02,1.500000000000000000e+01,3.409090909090908639e+01,5.748043145279964250e+01,4.998937260795911186e+01,4.592884258820259333e+02,6.766612466550961926e+02,6.787568050518663076e-01,5.500000000000000000e+00
6.470313931138798580e+01,-2.403961467708919664e-01,9.287916666666666288e+02,5.000000000000000000e+00,1.063829787234042534e+01,2.890520088665484977e+01,4.037007440916375600e+01,1.926099241471131563e+03,2.429949807025421080e+02,7.926498053179670045e+00,5.500000000000000000e+00
6.060966549974604334e+01,-3.211752192324615063e-01,9.958888888888889142e+02,3.600000000000000000e+01,8.181818181818182723e+01,1.076910564362873970e+02,8.159523777943678624e+01,4.963823916883113156e+02,5.673014279015606007e+03,8.749887930379837697e-02,8.833333333000000565e+00
8.322872065821830745e+01,3.737397426294089442e+00,7.238064516129031745e+02,1.000000000000000000e+00,1.639344262295082011e+00,2.023833402072478549e+01,3.788154042849003389e+01,4.542407721021412499e+02,1.327425910681176333e+02,3.421967044993456053e+00,3.571428571399999807e+00
5.655706954268688236e+01,-2.329966624948802412e-01,1.063642857142857110e+03,8.000000000000000000e+00,1.951219512195121908e+01,4.071045889467025347e+01,3.837353091083047474e+01,1.733054534984233044e+02,6.561810943520208639e+02,2.641122321111102900e-01,6.833333332999999676e+00
6.368157549627458991e+01,-3.034500654009211207e-01,9.477872340425532229e+02,1.800000000000000000e+01,3.913043478260869534e+01,5.552202853079047884e+01,7.424194764423444326e+01,1.545366173412675607e+03,2.230254013316610781e+03,6.929103878685825002e-01,7.333333332999999676e+00
7.164737106902998676e+01,-3.107921011099621378e-01,8.410188679245283083e+02,4.000000000000000000e+00,7.692307692307692513e+00,2.818721750668608905e+01,3.825546243853374762e+01,4.311032374622942029e+02,3.335345466894240758e+02,1.292529489797417330e+00,6.833333332999999676e+00
5.579912689850277729e+01,-2.925658989785489550e-01,1.091902439024390333e+03,1.700000000000000000e+01,4.250000000000000000e+01,7.732399368889323910e+01,1.109249306689097665e+02,2.822105799076148742e+03,1.818661452720666603e+03,1.551748839705354488e+00,8.300000000000000711e+00
6.116103077457867698e+01,-3.083085630520651654e-01,9.870888888888888459e+02,1.500000000000000000e+01,3.409090909090908639e+01,5.194708846509107758e+01,7.176312747258485558e+01,1.007830545034145985e+03,5.155087315536369488e+02,1.955021289351884795e+00,8.000000000000000000e+00
6.631107618881951282e+01,-1.667196042925270516e-01,9.126041666666666288e+02,8.000000000000000000e+00,1.702127659574468055e+01,4.410553108557276403e+01,7.746728604902470749e+01,2.238992980276474555e+03,9.229647543591956946e+02,2.425870510982819361e+00,6.299999999999999822e+00
7.592982798799148725e+01,-3.121414251336307455e-01,7.957857142857143344e+02,8.000000000000000000e+00,1.454545454545454497e+01,3.732583799217616871e+01,5.961595707243437658e+01,1.697820494637774573e+03,2.572957044866969341e+02,6.598712940135997407e+00,5.000000000000000000e+00
6.995150651510856221e+01,-2.941523259017919112e-01,8.611346153846153584e+02,9.000000000000000000e+00,1.764705882352941302e+01,3.757763206180704429e+01,5.362324227062249804e+01,4.410420434624663244e+02,6.171324160469292792e+02,7.146635503083469398e-01,8.000000000000000000e+00
