# mean(hr), mean(eda), avnn, nn50, pnn50, rmssd, sdnn, Plf, Phf, lfhf_ratio, score
8.128063715974866454e+01,3.201458431439243024e-01,7.390000000000000000e+02,2.000000000000000000e+00,2.564102564102563875e+00,2.057631199667752142e+01,2.721707608780249998e+01,3.290520388577402855e+02,9.652068619512451164e+01,3.409134889411524760e+00,2.533333333299999879e+00
6.529261963258795731e+01,1.153414238608551278e-03,9.239682539682539755e+02,2.100000000000000000e+01,3.387096774193548043e+01,4.924248755541459133e+01,7.078385278186074459e+01,1.303847333405123436e+03,5.754920140330607410e+02,2.265621940203361717e+00,5.333333332999999676e+00
5.554790615455475944e+01,-2.895824383618035847e-01,1.082666666666666742e+03,2.500000000000000000e+01,4.716981132075471805e+01,6.218202130507584968e+01,5.318958615623644448e+01,1.627846585471859044e+03,1.388403535531727357e+03,1.172459262607992603e+00,5.888888888900000396e+00
6.587245705315892508e+01,-8.890470536437099225e-02,9.140156250000000000e+02,2.300000000000000000e+01,3.650793650793650613e+01,5.418823746317165302e+01,7.036446888979448033e+01,1.068448916796326330e+03,4.952425967144254173e+02,2.157425318186900753e+00,7.000000000000000000e+00
6.582267499981159631e+01,-9.373080141382336694e-02,9.148281250000000000e+02,1.200000000000000000e+01,1.904761904761904745e+01,3.763989777831369565e+01,5.932411771329024219e+01,3.620749585856296108e+03,2.888551048096659883e+02,1.253482983533249495e+01,5.799999999999999822e+00
6.246076911249458163e+01,-3.460981973793835209e-01,9.800169491525423382e+02,4.600000000000000000e+01,7.931034482758620641e+01,1.754939334839104106e+02,1.507194804155678867e+02,5.510167118292031319e+02,3.134655990173194823e+03,1.757821954168433676e-01,6.333333332999999676e+00
7.102820118691926154e+01,-2.513782417388285562e-01,8.449710144927536248e+02,5.000000000000000000e+00,7.352941176470588758e+00,3.433635528295988593e+01,2.345268767646443564e+01,2.827784557743318317e+01,3.467922074688541301e+01,8.154117932414284287e-01,6.833333332999999676e+00
7.587294714563088860e+01,2.035880303211552445e-01,7.937837837837837469e+02,3.200000000000000000e+01,4.383561643835616195e+01,5.821547127603117389e+01,5.839644159506902810e+01,5.501180858726293081e+02,1.081905131880208955e+03,5.084716484490616750e-01,1.800000000000000000e+01
6.277759040864169293e+01,-3.454852320456149317e-01,9.722666666666666515e+02,4.900000000000000000e+01,8.305084745762711407e+01,1.364677276060757833e+02,1.037787520571098128e+02,1.769957651295716005e+03,5.022660668969276230e+03,3.523944315471618793e-01,4.833333332999999676e+00
1.035298394380731537e+02,1.497660160768284343e-01,5.902699999999999818e+02,5.000000000000000000e+00,5.050505050505050164e+00,1.095280509248381549e+02,7.759137396084254590e+01,1.617806739240505749e+03,4.070478235919298641e+03,3.974488120251873924e-01,6.500000000000000000e+00
7.385518226072524328e+01,-2.324526685180978158e-01,8.132361111111110858e+02,5.000000000000000000e+00,7.042253521126760951e+00,3.086545085266094191e+01,2.803292483499325982e+01,6.512302789532159863e+01,4.085104059536498085e+02,1.594158360379944739e-01,5.333333332999999676e+00
